Subject,Session,Block,Condition,Trial,whetherCued,midStim,leftStim,rightStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
104,1,2,2,119,1,16.1746,316.9945,136.3406,1,2,3,1,1,0,0,16.1746,27.0538,2.7819,10.8792,30,
104,1,2,2,120,1,287.342,347.5171,229.5527,1,2,3,1,1,0,0,287.342,292.8188,2.1614,5.4768,30,
104,1,3,1,121,1,228.8403,286.1655,17.9368,1,3,2,1,1,0,0,228.8403,226.4497,2.6318,-2.3906,40,
104,1,3,1,122,1,258.5045,165.0311,226.8717,3,1,2,3,1,0,0,226.8717,224.5136,2.1312,-2.3582,40,
104,1,3,1,123,1,286.589,139.9222,347.7413,2,3,1,1,0,0,1,286.589,295.8299,2.1114,9.2409,30,
104,1,3,1,124,1,139.2986,258.3886,79.0292,1,2,3,2,0,1,0,258.3886,294.8733,2.8919,36.4847,0,
104,1,3,2,125,1,75.512,349.7956,225.7645,2,1,3,1,0,1,0,75.512,NaN,100000,999,0,
104,1,3,2,126,1,76.5253,18.9491,46.1819,2,1,3,1,0,1,0,76.5253,NaN,100000,999,0,
104,1,3,1,127,1,135.2611,167.8559,18.7383,3,2,1,3,1,0,0,18.7383,104.394,4.3328,85.6556,-20,
104,1,3,2,128,1,259.4756,228.4215,348.2842,2,3,1,3,0,1,0,348.2842,NaN,100000,999,0,
104,1,3,1,129,1,46.0689,228.2283,166.9032,1,3,2,1,1,0,0,46.0689,41.3038,2.3315,-4.7651,30,
104,1,3,1,130,1,18.8974,229.7742,109.598,3,2,1,3,1,0,0,109.598,109.5686,2.972,-0.029424,40,
104,1,3,2,131,1,349.0469,108.044,137.3996,1,3,2,1,1,0,0,349.0469,327.5534,1.9413,-21.4935,10,
104,1,3,2,132,1,138.5406,169.2969,228.9054,1,2,3,2,0,1,0,169.2969,NaN,100000,999,0,
104,1,3,1,133,1,78.0327,228.5732,17.0077,2,1,3,2,1,0,0,228.5732,238.9143,3.9526,10.3411,30,
104,1,3,1,134,1,165.2792,105.6911,289.3153,1,3,2,1,1,0,0,165.2792,159.0606,1.3208,-6.2186,30,
104,1,3,2,135,1,197.0044,169.975,226.305,1,3,2,1,1,0,0,197.0044,186.9467,1.6214,-10.0577,30,
104,1,3,2,136,1,165.4231,347.9109,105.7653,1,2,3,3,0,0,1,105.7653,133.7782,2.1914,28.0129,10,
104,1,3,1,137,1,19.5946,288.0127,78.5107,3,2,1,3,1,0,0,78.5107,103.3151,2.1214,24.8044,10,
104,1,3,1,138,1,109.3055,256.0496,76.9955,2,1,3,2,1,0,0,256.0496,271.9993,3.032,15.9498,20,
104,1,3,2,139,1,288.1673,139.9305,316.0358,1,3,2,1,1,0,0,288.1673,311.3382,1.7812,23.1709,10,
104,1,3,1,140,1,345.1987,289.9428,198.4309,2,1,3,2,1,0,0,289.9428,267.1863,2.2416,-22.7565,10,
104,1,3,2,141,1,106.1302,286.805,256.6228,3,2,1,3,1,0,0,256.6228,240.7904,2.2315,-15.8324,20,
104,1,3,1,142,1,315.6413,16.2646,199.4198,3,2,1,2,0,1,0,16.2646,59.9681,2.4214,43.7035,-5,
104,1,3,2,143,1,48.376,18.0051,316.7315,1,3,2,1,1,0,0,48.376,42.6794,2.0114,-5.6966,30,
104,1,3,1,144,1,49.3067,197.3195,137.8527,2,1,3,1,0,1,0,49.3067,50.0851,2.0614,0.77846,40,
104,1,3,1,145,1,229.9147,258.5482,345.8772,1,3,2,1,1,0,0,229.9147,222.2763,2.3116,-7.6384,30,
104,1,3,1,146,1,258.1158,165.1316,346.594,2,1,3,2,1,0,0,165.1316,159.6131,3.8125,-5.5184,30,
104,1,3,1,147,1,135.7593,46.9033,109.1051,3,2,1,1,0,0,1,135.7593,134.1474,1.7011,-1.6119,40,
104,1,3,2,148,1,198.0677,319.9403,16.0995,2,1,3,2,1,0,0,319.9403,323.353,2.1014,3.4126,30,
104,1,3,1,149,1,135.5949,109.6327,197.9678,3,2,1,3,1,0,0,197.9678,143.2998,6.5442,-54.668,-10,
104,1,3,2,150,1,106.1333,288.515,198.7708,2,3,1,2,1,0,0,288.515,317.6044,1.9413,29.0894,10,
104,1,3,2,151,1,258.6013,318.3939,16.0638,2,3,1,2,1,0,0,318.3939,349.9151,2.4217,31.5212,0,
104,1,3,1,152,1,16.8767,287.4019,46.7121,1,3,2,2,0,0,1,287.4019,299.7158,1.9917,12.314,20,
104,1,3,1,153,1,315.1096,259.0414,45.896,2,3,1,2,1,0,0,259.0414,248.0841,2.3116,-10.9573,30,
104,1,3,2,154,1,259.1191,15.6305,46.5006,1,2,3,1,1,0,0,259.1191,280.8006,2.6617,21.6815,10,
104,1,3,2,155,1,18.6466,139.2992,198.1348,2,3,1,2,1,0,0,139.2992,149.9947,2.3019,10.6955,30,
